CUE,Nombre,Domicilio,Sendero,Ambito,BARRIO,Comuna,DE,X,Y,y_lat,x_long
200364,Esc. de Comercio Nº 16 Gabriela Mistral,Julian Alvarez 123,SE15AA,publica,VILLA CRESPO,15,7,102200,102926,-34.602892,-58.439315
201812,Instituto Educativo Alas,Lavalleja 250,SE15AA,privada,VILLA CRESPO,15,2,102494,103046,-34.601809,-58.436111
201403,Instituto Sarmiento,Lavalleja 180,SE15AA,privada,VILLA CRESPO,15,7,102411,102982,-34.602386,-58.437015
201372,Jardin de Infantes Nucleado A DE 07º El Jardin de la Paloma [S] (EPC 01),Av. Corrientes 5332,SE15AB,publica,VILLA CRESPO,15,7,102117,103378,-34.598817,-58.440221
201399,Esc. Primaria Comun Nº 01 DE 07º Tomasa de la Quintana de Escalada,Av. Corrientes 5332,SE15AB,publica,VILLA CRESPO,15,7,102117,103378,-34.598817,-58.440221
200687,Esc. Primaria Comun Nº 02 DE 07º Francisco Desiderio Herrera,Camargo 725,SE15AB,publica,VILLA CRESPO,15,7,101962,103398,-34.598637,-58.441911
201372,Jardin de Infantes Nucleado A DE 07º El Jardin de la Paloma (EPC 02),Camargo 725,SE15AB,publica,VILLA CRESPO,15,7,101962,103398,-34.598637,-58.441911
202504,Esc. de Educacion Media Nº 03 DE 07º Osvaldo Pugliese,Padilla 1051,SE15AB,publica,VILLA CRESPO,15,7,101580,103617,-34.596664,-58.446076
200087,Instituto Dr. Herzl,Acevedo 276,SE15AB,privada,VILLA CRESPO,15,7,101937,103343,-34.599133,-58.442184
200653,Colegio Buenos Aires,Acevedo 357,SE15AB,privada,VILLA CRESPO,15,7,102021,103383,-34.598772,-58.441268
200728,Escuela Integral Scholem Aleijem (sede),Gurruchaga 338/340/358 - Serrano 317/341/347/355,SE15AB,privada,VILLA CRESPO,15,7,101816,103407,-34.598556,-58.443503
200728,Escuela Integral Scholem Aleijem (anexo),Padilla 959 - Serrano 344,SE15AB,privada,VILLA CRESPO,15,7,101667,103531,-34.597439,-58.445127
200224,Instituto Integral Mundo Nuevo,Serrano 557,SE15AB,privada,VILLA CRESPO,15,9,101983,103689,-34.596014,-58.441683
200202,Esc. Primaria Comun Nº 04 DE 14º Gral. Juan Antonio Lavalleja,14 de Julio 546,SE15AC,publica,VILLA ORTUZAR,15,14,99964,104655,-34.587282,-58.463713
200046,Esc. Primaria Comun Nº 20 DE 14º Republica de Honduras,Elcano 4861,SE15AC,publica,PATERNAL,15,14,99599,104138,-34.591946,-58.467667
201569,Jardin de Infantes Nucleado C DE 14º (EPC 20),Elcano 4861,SE15AC,publica,PATERNAL,15,14,99599,104138,-34.591946,-58.467667
200494,Esc. de Comercio Nº 24 Dr. Dalmacio Velez Sarsfield,Av. del Campo 1340,SE15AC,publica,PATERNAL,15,14,99593,104334,-34.590161,-58.467731
200130,Esc. Primaria Comun Nº 11 DE 14º Dr. Enrique Mosca,Casafoust 761 - Paysandu 2211,SE15AD,publica,VILLA CRESPO,15,14,100621,103275,-34.599748,-58.45653
200490,Esc. Primaria Comun Nº 12 DE 14º Herminia Brumana,Fitz Roy 171,SE15AD,publica,VILLA CRESPO,15,14,100985,103553,-34.597241,-58.452562
200518,Esc. Primaria Comun Nº 21 DE 14º Almirante Segundo R. Storni,Martinez Rosas 1364,SE15AD,publica,VILLA CRESPO,15,14,101048,103577,-34.597025,-58.451875
201658,Jardin de Infantes Nucleado B DE 14º (EPC 21),Martinez Rosas 1364,SE15AD,publica,VILLA CRESPO,15,14,101048,103577,-34.597025,-58.451875
200581,Esc. Primaria Comun Nº 23 DE 14º Alfredo Rodolfo Bufano,Gral. Manuel A. Rodriguez 2332,SE15AD,publica,PATERNAL,15,14,100572,103388,-34.598729,-58.457064
202564,Escuela Infantil Naranjitas,Lavalleja 669,SE15AE,privada,VILLA CRESPO,15,2,102825,103263,-34.599852,-58.432503
202711,Escuela Infantil Color de Ciruela,Lavalleja 854,SE15AE,privada,VILLA CRESPO,15,2,102993,103430,-34.598346,-58.430672
201292,Esc. Primaria Comun Nº 27 DE 15º Petronila Rodriguez,Andonaegui 1532,SE15AF,publica,PARQUE CHAS,15,15,98278,104921,-34.584871,-58.482129
202387,Escuela Infantil Miguelito,Av. Gral. Victorica 3018,SE15AF,privada,PARQUE CHAS,15,14,98473,104658,-34.587282,-58.479919
200209,Instituto Parroquial Nuestra Señora de la Unidad (sede),Navarro 2521,SE15AG,privada,AGRONOMIA,15,16,97475,104183,-34.591559,-58.490823
200209,Instituto Parroquial Nuestra Señora de la Unidad (anexo 1),Navarro 2460,SE15AG,privada,AGRONOMIA,15,16,97553,104207,-34.591343,-58.489973
200209,Instituto Parroquial Nuestra Señora de la Unidad (anexo 2),Nueva York 2467,SE15AG,privada,AGRONOMIA,15,16,97307,104552,-34.588233,-58.492653
200991,Esc. Primaria Comun Nº 03 DE 16º Grecia,Condarco 3984,SE15AH,publica,AGRONOMIA,15,16,97068,104332,-34.590215,-58.495259
201400,Jardin de Infantes Integral Nº 02 DE 16º Aime Paine,Condarco 3984,SE15AH,publica,AGRONOMIA,15,16,97068,104332,-34.590215,-58.495259
